expression,reading,meaning,tags,guid,ความหมาย
複雑,ふくざつ,"complexity, complication",JLPT JLPT_N4,CH}=lqHM1.,ความซับซ้อน ความยุ่งยาก
彼,かれ,"he, boyfriend",Genki Genki_Ln.12 Intermediate_Japanese_Ln.8 JLPT JLPT_N4,t}ZPEKulM{,เขา แฟนหนุ่ม
いらっしゃる,いらっしゃる,"-- honorific expression for いく, くる, and いる --",Genki Genki_Ln.19 JLPT JLPT_N4,q4xt(yor`^,"-- สำนวนแสดงความเคารพสำหรับ いく, くru และ いรู --"
布団,ふとん,futon,JLPT JLPT_N4,o9cl6;pq_D,ฟูก
大事,だいじ,"important, valuable, serious matter",JLPT JLPT_N4,K-;(kx?ed|,เรื่องสำคัญ มีค่า และจริงจัง
贈り物,おくりもの,a gift; a present,Intermediate_Japanese_Ln.9 JLPT JLPT_N4,ea]7XukKd^,ของขวัญ; ของกำนัล
泥棒,どろぼう,thief; burglar,Genki Genki_Ln.21 JLPT JLPT_N4,q/[sonb>SP,ขโมย; ผู้บุกรุก
～製,～せい,made in ~,JLPT JLPT_N4,I|]_Gf;YLD,ผลิตใน ~
注意,ちゅうい,"caution, attention",JLPT JLPT_N4,tSqn:MggQx,ความระมัดระวัง ความใส่ใจ
台風,たいふう,typhoon,Genki Genki_Ln.16 JLPT JLPT_N4,uFiu<};|%T,ไต้ฝุ่น
日,ひ,"sun, sunshine, day",Genki Genki_Ln.16 JLPT JLPT_N4,Ap$ELNr5>B,ดวงอาทิตย์ แสงแดด วัน
～軒,～けん,counter for houses,JLPT JLPT_N4,"KbFf,NH{5y",เคาน์เตอร์สำหรับบ้าน
そう,そう,"really, (is that) so; yes, right",JLPT JLPT_N4,wr0#d-auwR,จริงเหรอ? ใช่ ถูกต้อง
通る,とおる,"to pass (by), to go through",JLPT JLPT_N4,z?tZP}u#Ea,"ผ่านไป, ผ่านไป"
過ぎる,すぎる,"to exceed, to go beyond",JLPT JLPT_N4,O_}jg<!z1-,"เกินกว่า, ก้าวข้ามไป"
レポート; リポート,レポート; リポート,report,JLPT JLPT_N4,xai}>:G-4a,รายงาน
葉,は,leaf,JLPT JLPT_N4,xQbxW<V1k4,ใบไม้
必要,ひつよう,necessary,JLPT JLPT_N4,ty_M]/QA_N,จำเป็น
課長,かちょう,section manager,Intermediate_Japanese_Ln.7 JLPT JLPT_N4,Q;5M-:Rtr;,ผู้จัดการแผนก
地震,じしん,earthquake,Genki Genki_Ln.15 JLPT JLPT_N4,DGTtnnC4Nd,แผ่นดินไหว
すると,すると,"and, then",JLPT JLPT_N4,Fz>2(<Q3D%,แล้วก็
止める,やめる,"to end, to stop",JLPT JLPT_N4,w08D;C[*x`,เพื่อยุติ เพื่อหยุด
ガラス,ガラス,"glass, pane",JLPT JLPT_N4,Wl!XdU*F<,กระจกบาน
～学部,～がくぶ,department of a university,JLPT JLPT_N4,qq2at6CGnZ,ภาควิชาของมหาวิทยาลัย
厳しい,きびしい,hard; rigorous; strict,Genki Genki_Ln.13 Intermediate_Japanese_Ln.5 JLPT JLPT_N4,pjG^I!L.;w,ยาก; เข้มงวด; เคร่งครัด
エスカレーター,エスカレーター,escalator,JLPT JLPT_N4,y6e9BNnN(6,บันไดเลื่อน
人口,じんこう,population,Intermediate_Japanese_Ln.4 JLPT JLPT_N4,h:04.`><%U,ประชากร
月,つき,moon,Genki Genki_Ln.20 JLPT JLPT_N4,g.!8Tz-L0l,ดวงจันทร์
絹,きぬ,silk,JLPT JLPT_N4,tNV0})jEsh,ผ้าไหม
ちっとも,ちっとも,not at all (neg. verb),JLPT JLPT_N4,p(lsw|$R1V,ไม่เลย (กริยาปฏิเสธ)
深い,ふかい,"deep, profound",JLPT JLPT_N4,N%G$/Va72i,ลึกซึ้ง ลึกซึ้งมาก
壊れる,こわれる,"to be broken, to break",JLPT JLPT_N4,PH#eB=.[|i,"แตกหัก, ทำให้แตก"
揺れる,ゆれる,"to shake, to sway",JLPT JLPT_N4,CJT@S-rGcq,สั่นไหว โยกไปมา
落る,おちる,"to fall, to drop",JLPT JLPT_N4,QEWE{hX5.8,"ตก, หล่น"
できるだけ,できるだけ,"if at all possible, as much as possible",JLPT JLPT_N4,z|27hHgqS.,ถ้าเป็นไปได้ ให้มากที่สุดเท่าที่จะทำได้
悲しい,かなしい,"sad, sorrowful",Genki Genki_Ln.13 JLPT JLPT_N4,P[6ROxur[z,เศร้าโศก
中学校,ちゅうがっこう,junior high school pupil,JLPT JLPT_N4,o@F6a}&sDT,นักเรียนมัธยมต้น
ガス,ガス,gas,JLPT JLPT_N4,J0vS6#XFQP,แก๊ส
祈る,いのる,to pray; to wish,JLPT JLPT_N4,gOVf)x5I|I,เพื่ออธิษฐาน; เพื่อปรารถนา
盛ん,さかん,"prosperous, active, thriving",JLPT JLPT_N4,iN0&Vv}z1G,มั่งคั่ง กระตือรือร้น เจริญรุ่งเรือง
アルバイト,アルバイト,part-time job,Genki Genki_Ln.4 JLPT JLPT_N4,uhbB_H_zmK,งานพาร์ทไทม์
起こす,おこす,to wake (someone) up,Genki Genki_Ln.16 JLPT JLPT_N4,e)?&!q93%0,ปลุก (ใครบางคน) ให้ตื่น
致す,いたす,-- extra-modest expression for する --,Genki Genki_Ln.20 JLPT JLPT_N4,s{uMBFr}QR,-- สำนวนที่ถ่อมตัวเป็นพิเศษสำหรับ sururu --
噛む,かむ,"to bite, to chew",JLPT JLPT_N4,E0N_YXN>-x,"กัด, เคี้ยว"
赤ちゃん,あかちゃん,"baby, infant",Genki Genki_Ln.21 JLPT JLPT_N4,s09]7w9[]D,"ทารก, เด็กทารก"
浅い,あさい,"shallow, superficial",JLPT JLPT_N4,Bq97rav-&k,ตื้นเขิน ผิวเผิน
嘘,うそ,lie,JLPT JLPT_N4,dDVZZUX$0%,โกหก
小説,しょうせつ,novel,Genki Genki_Ln.20 JLPT JLPT_N4,k;Wm8^zP:1,นิยาย
親,おや,a parent,Genki Genki_Ln.16 Intermediate_Japanese_Ln.6 JLPT JLPT_N4,EM~YxWr$Fw,ผู้ปกครอง
それに,それに,moreover; besides,Intermediate_Japanese_Ln.2 JLPT JLPT_N4,q*Vh;RO@9L,นอกจากนี้; ยิ่งไปกว่านั้น
西洋,せいよう,"the West, Western countries",JLPT JLPT_N4,CYHizo6/]:,ตะวันตก ประเทศตะวันตก
思う,おもう,"to think, to feel",Genki Genki_Ln.8 JLPT JLPT_N4,bu>M]5SnGX,คิด รู้สึก
パート (タイム),パート (タイム),part time (esp. female part time employees),JLPT JLPT_N4,v_m4?zP2.9,งานพาร์ทไทม์ (โดยเฉพาะพนักงานหญิงที่ทำงานพาร์ทไทม์)
時代,じだい,"age, period, epoch, era",JLPT JLPT_N4,L?Q&>175XG,"ยุคสมัย, ช่วง, สมัย, ยุค"
申し上げる,もうしあげる,"(humble)to say, to tell",JLPT JLPT_N4,GF+@f2CV$T,"(ถ่อมตน)ที่จะพูด, ที่จะบอก"
～式,～しき,~ ceremony; ~ style,JLPT JLPT_N4,"r&5Ybsff,l",~ พิธีการ; ~ รูปแบบ
出席,しゅっせきする,attendance,JLPT JLPT_N4,veUCYD:#[?,การเข้าร่วม
～家,～か,person who is specialized in ~,JLPT JLPT_N4,jmL@^X(3xD,บุคคลที่มีความเชี่ยวชาญในด้าน ~
迎える,むかえる,to welcome; to meet; to greet,JLPT JLPT_N4,c)r?fC@d`X,ต้อนรับ; พบปะ; ทักทาย
触る,さわる,"to touch, to feel",JLPT JLPT_N4,EE}]!?vk-o,"สัมผัส, รู้สึก"
建て,～だて,"~ storied, separate housing",JLPT JLPT_N4,O;BgWj4xcP,~ บ้านสองชั้นแยกเป็นสัดส่วน
社長,しゃちょう,president of a company,Genki Genki_Ln.11 JLPT JLPT_N4,esu`;_q%~},ประธานบริษัท
動物園,どうぶつえん,zoo,JLPT JLPT_N4,LA>0An]TpD,สวนสัตว์
捕まえる,つかまえる,"to catch, to arrest",JLPT JLPT_N4,"dxA,$K8Jjo","จับ, จับกุม"
季節,きせつ,season (in reference to weather),Genki Genki_Ln.10 Intermediate_Japanese_Ln.9 JLPT JLPT_N4,"H-HO2,.Mf&",ฤดูกาล (ในความหมายของสภาพอากาศ)
寄る,よる,to stop by,Genki Genki_Ln.19 Intermediate_Japanese_Ln.3 JLPT JLPT_N4,wowQrA=!@I,แวะมา
決まる,きまる,to be set; fixed (v.i.),Intermediate_Japanese_Ln.2 JLPT JLPT_N4,ftU/w6Rm9),ตั้งไว้; ตรึงไว้ (กริยาไม่ต้องการกรรม)
開く,ひらく,to open; to hold (an event),JLPT JLPT_N4,EqW3}ML(%4,เปิด; จัดงาน (กิจกรรม)
逃げる,にげる,"to escape, to run away",JLPT JLPT_N4,olt^H[(k%k,เพื่อหลบหนี เพื่อวิ่งหนี
だから,だから,so; therefore,Genki Genki_Ln.4 JLPT JLPT_N4,"l,%/>C{Y}S",ดังนั้น; ด้วยเหตุนี้
残念,ざんねん,regret; regrettable,Intermediate_Japanese_Ln.7 JLPT JLPT_N4,u8P;}KnN>M,เสียใจ; น่าเสียใจ
畳,たたみ,tatami mat (Japanese straw mat),JLPT JLPT_N4,K6&+!%&]%g,เสื่อทาทามิ (เสื่อสานจากฟางของญี่ปุ่น)
丁寧,ていねい,"polite, courteous, careful",JLPT JLPT_N4,y#[3yo1.4|,สุภาพ มีมารยาท รอบคอบ
地理,ちり,geography,JLPT JLPT_N4,L>P&NZL8Ln,ภูมิศาสตร์
さっき,さっき,a little while ago,Genki Genki_Ln.4 JLPT JLPT_N4,K6.[:IAM|.,เมื่อไม่นานมานี้
怖い,こわい,"scary, frightening",Genki Genki_Ln.5 JLPT JLPT_N4,oO+f.U&hT(,น่ากลัว น่าหวาดเสียว
包む,つつむ,"to wrap, to cover",Genki Genki_Ln.21 JLPT JLPT_N4,j.kjH)CP:g,"ห่อหุ้ม, คลุม"
なるべく,なるべく,"if possible, as much as possible",Intermediate_Japanese_Ln.3 JLPT JLPT_N4,N|K[$y_r^[,ถ้าเป็นไปได้ ให้มากที่สุดเท่าที่จะทำได้
無理,むり,"unreasonable, impossible",JLPT JLPT_N4,i]oOmAHlg9,ไม่สมเหตุสมผล เป็นไปไม่ได้
サンドイッチ,サンドイッチ,sandwich,JLPT JLPT_N4,"Lah$0,$FHs",แซนด์วิช
会議室,かいぎしつ,conference room,JLPT JLPT_N4,oxHUFdCY;/,ห้องประชุม
品物,しなもの,goods,JLPT JLPT_N4,kiGyZq*rIU,สินค้า
人形,にんぎょう,"doll, figure",JLPT JLPT_N4,vPlJ&v75[Q,"ตุ๊กตา, รูปปั้น"
利用,りよう,"use, utilization",JLPT JLPT_N4,Rh@8N~e0eQ,การใช้งาน การใช้ประโยชน์
飾る,かざる,"to decorate, to adorn",JLPT JLPT_N4,"OaqvYHn98,",เพื่อตกแต่ง เพื่อประดับประดา
止める,とめる,to stop (something),JLPT JLPT_N4,uL2<QDM;W:,เพื่อหยุด (บางสิ่ง)
恥ずかしい,はずかしい,"ashamed, embarrassed",Genki Genki_Ln.18 JLPT JLPT_N4,e$Mth*I+Cg,อับอาย เขินอาย
いくら～ても,いくら～ても,however much one may ~,JLPT JLPT_N4,I]og(vfh}t,ไม่ว่าจะมากน้อยแค่ไหนก็ตาม ~
用事,ようじ,business to take care of; tasks; errands,Genki Genki_Ln.12 JLPT JLPT_N4,p$RznpfpCY,ธุระที่ต้องจัดการ; งาน; ภารกิจ
ビル,ビル,(abbr.) building,JLPT JLPT_N4,H[!Yph0[mz,(ย่อ) อาคาร
けんかする,けんかする,quarrel,JLPT JLPT_N4,Oc14`ELpiF,ทะเลาะ
頑張る,がんばる,"to try one's best, to try hard, to persist",Genki Genki_Ln.13 JLPT JLPT_N4,Mz@9d9PizL,พยายามอย่างเต็มที่ พยายามอย่างหนัก อดทน
投げる,なげる,"to pitch, to cast away",Intermediate_Japanese_Ln.7 JLPT JLPT_N4,"A%8%S+mN,O","โยนทิ้ง, ขว้างทิ้ง"
故障,こしょうする,breakdown,JLPT JLPT_N4,mP~NCidGL7,พัง
力,ちから,"strength, power",JLPT JLPT_N4,t<Fy!4ZXqc,ความแข็งแกร่ง พลัง
受ける,うける,"to take (an examination, interview, etc.); to receive",JLPT JLPT_N4,d#N;{6r~iD,เข้ารับการสอบ (สอบสัมภาษณ์ ฯลฯ) รับ
気分,きぶん,"feeling, mood",JLPT JLPT_N4,GJl$1:;vCi,ความรู้สึก อารมณ์
間違える,まちがえる,to make a mistake,Genki Genki_Ln.21 JLPT JLPT_N4,Q5b~VM7IRc,ทำผิดพลาด
そんな,そんな,"such, like that, that sort of",JLPT JLPT_N4,ei/O3MuiLE,เช่นนั้น คล้ายๆ แบบนั้น
星,ほし,star,JLPT JLPT_N4,h=LT];WutA,ดาว
場合,ばあい,"case, situation",JLPT JLPT_N4,qV-2<HJ$$5,กรณี สถานการณ์
やっと,やっと,"at last, finally",JLPT JLPT_N4,Qf-Nk|9F8D,ในที่สุด ในที่สุด
足りる,たりる,to be sufficient; to be enough,Genki Genki_Ln.17 Intermediate_Japanese_Ln.4 JLPT JLPT_N4,tSHDO2cb1M,เพียงพอ; มากพอ
行う,おこなう,to carry out; to conduct (typically used in written language),Intermediate_Japanese_Ln.3 JLPT JLPT_N4,kSwpIk>RTo,ดำเนินการ; ปฏิบัติ (โดยทั่วไปใช้ในภาษาเขียน)
ぶどう,ぶどう,grapes,JLPT JLPT_N4,qtf+q-Z+n],องุ่น
無くなる,なくなる,"to disappear, to get lost",JLPT JLPT_N4,QEFsGzu!|/,"หายไป, หลงทาง"
準備,じゅんびする,prepare,JLPT JLPT_N4,h&P$N~U6-[,เตรียมตัว
世界,せかい,world,Genki Genki_Ln.10 JLPT JLPT_N4,e<Tae_jQo4,โลก
住所,じゅうしょ,address; place of residence,JLPT JLPT_N4,fPoS$h^c(u,ที่อยู่; สถานที่อยู่อาศัย
再来月,さらいげつ,the month after next,JLPT JLPT_N4,Zux^JW=t?,เดือนถัดไป
林,はやし,"woods, forest",JLPT JLPT_N4,@LWUXw-^>,ป่าไม้
倍,ばい,double,JLPT JLPT_N4,k.0mCWDs+|,สองเท่า
痩せる,やせる,to lose weight,Genki Genki_Ln.7 JLPT JLPT_N4,A[Q-]LV0S:,เพื่อลดน้ำหนัก
線,せん,"line, wire",JLPT JLPT_N4,dK0yR1DBK`,สายไฟ
戦争,せんそう,war,JLPT JLPT_N4,l@;Cq/&#91,สงคราม
決める,きめる,to decide (v.t.),Genki Genki_Ln.10 Intermediate_Japanese_Ln.9 JLPT JLPT_N4,p(qb/m`R:b,ตัดสินใจ (กริยา)
調べる,しらべる,to check; to look up; to inquire; to search,JLPT JLPT_N4,Ov6y=mBwgM,ตรวจสอบ; ค้นหา; สอบถาม; ตรวจค้น
寝坊,ねぼう,sleeping in late,JLPT JLPT_N4,B(>pXN{@@q,นอนตื่นสาย
パパ,パパ,"papa, daddy",JLPT JLPT_N4,v.-(XP=XJY,"พ่อ, คุณพ่อ"
光る,ひかる,"to shine, to glitter",JLPT JLPT_N4,xp|/7BLK40,ส่องแสง ระยิบระยับ
夫,おっと,husband,JLPT JLPT_N4,zDF$wWIUs8,สามี
雲,くも,cloud,JLPT JLPT_N4,"C3Z1{X<H,4",คลาวด์
坂,さか,"slope, hill",JLPT JLPT_N4,fMGrCf7XcB,"ความลาดชัน, เนินเขา"
～(て) しまう,～(て) しまう,to end up ~,JLPT JLPT_N4,us+Z5ns><g,สุดท้ายแล้ว ~
飛行場,ひこうじょう,airport,JLPT JLPT_N4,A2O=3b{hXI,สนามบิน
柔道,じゅうどう,judo,JLPT JLPT_N4,d[2qz9jnc7,ยูโด
決して,けっして,never,JLPT JLPT_N4,Kd9N)Izj!4,ไม่เคย
事務所,じむしょ,office,JLPT JLPT_N4,wxgf%k:fc2,สำนักงาน
連絡,れんらく,"communication, contact, connection",JLPT JLPT_N4,"v[($g<|S,F",การสื่อสาร การติดต่อ การเชื่อมต่อ
小学校,しょうがっこう,elementary school,Genki Genki_Ln.23 JLPT JLPT_N4,f^*MMB(l>o,โรงเรียนประถมศึกษา
客,きゃく,"guest, customer",Intermediate_Japanese_Ln.2 JLPT JLPT_N4,xF)V^}awc{,แขก ลูกค้า
昔,むかし,old days; past,Genki Genki_Ln.21 JLPT JLPT_N4,hUjfJU~9){,วันเก่าๆ; อดีต
美しい,うつくしい,"beautiful, lovely",JLPT JLPT_N4,OB^[>@2T05,สวยงาม น่ารัก
捨てる,すてる,"throw away (trash), dump, discard",Genki Genki_Ln.15 JLPT JLPT_N4,G;1IJzl`jC,"ทิ้ง (ขยะ), ทิ้ง, ทิ้งไป"
なさる,なさる,-- honorific expression for する --,Genki Genki_Ln.19 JLPT JLPT_N4,zj*av$=2pO,-- สำนวนแสดงความเคารพสำหรับ sururu --
事,こと,"thing(s), matter(s), fact",Genki Genki_Ln.21 JLPT JLPT_N4,ca&G<Ve~Nx,"สิ่งต่างๆ, เรื่องต่างๆ, ข้อเท็จจริง"
どんどん,どんどん,quickly and steadily; at a rapid pace,JLPT JLPT_N4,q0h/etzyxE,อย่างรวดเร็วและสม่ำเสมอ; ด้วยความเร็ว
試合,しあい,"match, game, competition",Genki Genki_Ln.12 Intermediate_Japanese_Ln.7 JLPT JLPT_N4,Hv/PI<4cqa,"การแข่งขัน, เกม, การประลอง"
適当,てきとう,"fitness, suitability",JLPT JLPT_N4,HX3el]3jvP,ความเหมาะสม
素晴らしい,すばらしい,wonderful; terrific,Intermediate_Japanese_Ln.4 JLPT JLPT_N4,Mq|7Xt}rKi,ยอดเยี่ยม; วิเศษมาก
美術館,びじゅつかん,"art gallery, art museum",Genki Genki_Ln.11 JLPT JLPT_N4,Lovq=LkX$G,หอศิลป์ พิพิธภัณฑ์ศิลปะ
文法,ぶんぽう,grammar,Genki Genki_Ln.13 JLPT JLPT_N4,"h2m8,%coR8",ไวยากรณ์
終わり,おわり,end,JLPT JLPT_N4,j1fvX?gG0M,จบ
壁,かべ,wall,JLPT JLPT_N4,um!T&Q*O[?,กำแพง
一度,いちど,"once, one time",JLPT JLPT_N4,z3&2cN)6^e,ครั้งหนึ่ง ครั้งหนึ่ง
お礼,おれい,expression of gratitude; thanking; gift of appreciation; bow,Genki Genki_Ln.19 Intermediate_Japanese_Ln.9 JLPT JLPT_N4,IzFCHK5nu1,การแสดงความกตัญญู; การขอบคุณ; ของขวัญแสดงความขอบคุณ; การโค้งคำนับ
親切,しんせつ,kindness,JLPT JLPT_N4,lZWRz?K3ET,ความเมตตา
知らせる,しらせる,to notify,JLPT JLPT_N4,mORr*vy|g/,เพื่อแจ้งให้ทราบ
歯医者,はいしゃ,dentist,JLPT JLPT_N4,"<G@n,w<8p",ทันตแพทย์
熱心,ねっしん,enthusiasm,JLPT JLPT_N4,bLrU`I|/*{,ความกระตือรือร้น
始める,はじめる,"to start, to begin",Genki Genki_Ln.8 JLPT JLPT_N4,"g,>$G?*/Q&",เพื่อเริ่มต้น เพื่อเริ่ม
もらう,もらう,to receive,JLPT JLPT_N4,MhXS3i[O39,เพื่อรับ
