expression,reading,meaning,tags,guid,ความหมาย
職業,しょくぎょう,"occupation, business",JLPT JLPT_2 JLPT_3,tU=ntM)WP{,อาชีพ ธุรกิจ
食卓,しょくたく,dining table,JLPT JLPT_2 JLPT_3,o})uu+vtqN,โต๊ะอาหาร
食品,しょくひん,foodstuff,JLPT JLPT_2 JLPT_3,iU(>r<G;@0,อาหาร
植物,しょくぶつ,"plant, vegetation",JLPT JLPT_2 JLPT_3,mpdopLG{vR,"พืช, พืชพรรณ"
食物,しょくもつ,"food, foodstuff",JLPT JLPT_2 JLPT_3,KrMVp?T5YJ,"อาหาร, วัตถุดิบอาหาร"
食欲,しょくよく,appetite (for food),JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.12,qt1GC>c)@^,ความอยากอาหาร (สำหรับอาหาร)
食料,しょくりょう,food,JLPT JLPT_2 JLPT_3,"k76m(C.Z,~",อาหาร
食糧,しょくりょう,"provisions, rations",JLPT JLPT_2 JLPT_3,"e~`&J:],P}","เสบียง, เสบียงอาหาร"
書斎,しょさい,"study, den",JLPT JLPT_2 JLPT_3,z(Zi=4k7-t,"การศึกษา, ถ้ำ"
女子,じょし,"woman, girl",JLPT JLPT_2 JLPT_3,y}`qNApt9R,"ผู้หญิง, เด็กผู้หญิง"
助手,じょしゅ,"helper, assistant",JLPT JLPT_2 JLPT_3,F9rI>UKU}`,"ผู้ช่วย, ผู้ร่วมงาน"
徐々に,じょじょに,"slowly, little by little",JLPT JLPT_2 JLPT_3,Ik@-$!%)*d,ช้าๆ ทีละเล็กทีละน้อย
署名,しょめい,signature,JLPT JLPT_2 JLPT_3,"C)w4*u^eJ,",ลายเซ็น
書物,しょもつ,books,JLPT JLPT_2 JLPT_3,dsq%HW0O`l,หนังสือ
女優,じょゆう,actress,JLPT JLPT_2 JLPT_3,g6/0nLbYEk,นักแสดงหญิง
処理,しょり,"processing, treatment, disposition",JLPT JLPT_2 JLPT_3,"n-}WPF,.CB",การแปรรูป การบำบัด การกำจัด
書類,しょるい,"documents, official papers",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14 Genki_Ln.22 Genki,Ehj{.OHy`#,"เอกสาร, เอกสารราชการ"
知らせ,しらせ,notice,JLPT JLPT_2 JLPT_3,tE;LJdiq{b,สังเกต
尻,しり,"buttocks, bottom",JLPT JLPT_2 JLPT_3,Cp-T01W>>7,ก้น
知合い,しりあい,acquaintance,JLPT JLPT_2 JLPT_3,Jz(h+XVbH4,คนรู้จัก
印,しるし,mark; symbol; evidence,JLPT JLPT_2 JLPT_3,F?8:NFp=(i,เครื่องหมาย; สัญลักษณ์; หลักฐาน
城,しろ,castle,JLPT JLPT_2 JLPT_3,GnhkX+7b^.,ปราสาท
進学,しんがく,going on to university,JLPT JLPT_2 JLPT_3,p#!GLXFzk~,ศึกษาต่อในระดับมหาวิทยาลัย
神経,しんけい,"nerve, sensitivity",JLPT JLPT_2 JLPT_3,"mz&,NqxuZ0","เส้นประสาท, ความไว"
真剣,しんけん,"seriousness, earnestness",JLPT JLPT_2 JLPT_3,PuRLKa9@q(,ความจริงจัง ความตั้งใจจริง
信仰,しんこう,"(religious) faith, belief",JLPT JLPT_2 JLPT_3,g~oH1SUq[>,ศรัทธา ความเชื่อ (ทางศาสนา)
信号,しんごう,"traffic lights, signal, semaphore",JLPT JLPT_3 JLPT_2 Genki_Ln.20 Genki,z?zKX+/#?f,"สัญญาณไฟจราจร, สัญญาณ, สัญญาณธง"
人工,じんこう,"artificial, man made, human work,",JLPT JLPT_2 JLPT_3,zQ3t>E=&2U,"สิ่งประดิษฐ์, ฝีมือมนุษย์, ผลงานของมนุษย์"
深刻,しんこく,serious,JLPT JLPT_2 JLPT_3,Kel_M-JGRX,จริงจัง
診察,しんさつ,medical examination (of a patient),JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.12,Mx*u-x#R2},การตรวจร่างกาย (ของผู้ป่วย)
人種,じんしゅ,race (of people),JLPT JLPT_2 JLPT_3,Mm&n`P$vPl,เชื้อชาติ (ของมนุษย์)
信じる,しんじる,to believe,JLPT JLPT_2 JLPT_3,E~EJs-CkJ`,เชื่อ
人生,じんせい,"(human) life (e.g., conception to death)",JLPT JLPT_2 JLPT_3,G{?]K0G%It,ชีวิต (ของมนุษย์) (เช่น ตั้งแต่การปฏิสนธิจนถึงเสียชีวิต)
親戚,しんせき,relative(s),Genki_Ln.16 JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.9 Genki,f;-yjmPO85,ญาติ
新鮮,しんせん,fresh,JLPT JLPT_2 JLPT_3,hgsIFo;k1C,สด
心臓,しんぞう,heart,JLPT JLPT_2 JLPT_3,FBeXkqV5hu,หัวใจ
身体,しんたい,the body,JLPT JLPT_2 JLPT_3,t3y~q`<OO!,ร่างกาย
身長,しんちょう,"height (of body), stature",JLPT JLPT_2 JLPT_3,v2>$s!00R?,"ความสูง (ของร่างกาย), ส่วนสูง"
慎重,しんちょう,"careful, prudent, cautious",JLPT JLPT_2 JLPT_3,H{qX;#1p@y,ระมัดระวัง รอบคอบ ระมัดระวัง
審判,しんぱん,"umpire, referee, judgment",JLPT JLPT_2 JLPT_3,"i+^OoCXV,-","กรรมการผู้ตัดสิน, ผู้พิพากษา, การตัดสิน"
人物,じんぶつ,"character, personality, talented man",JLPT JLPT_2 JLPT_3,OXSwNDOM:u,อุปนิสัย บุคลิกภาพ ชายผู้มากความสามารถ
進歩,しんぽ,"improvement, progress, development",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.13,C*Oco$5$I7,การปรับปรุง ความก้าวหน้า การพัฒนา
