expression,reading,meaning,tags,guid,ความหมาย
行進,こうしん,"march, parade",JLPT_1 JLPT,A=w}ZE@917,"เดินขบวน, พาเหรด"
香辛料,こうしんりょう,spices,JLPT_1 JLPT,ce!{r.1}~3,เครื่องเทศ
降水,こうすい,"rainfall, precipitation",JLPT_1 JLPT,"pb1#Y263n,","ปริมาณน้ำฝน, ปริมาณน้ำฝน"
洪水,こうずい,flood,JLPT_1 JLPT,wakC-uKaq},น้ำท่วม
合成,ごうせい,"synthetic, mixed",JLPT_1 JLPT,c^4E@A0[92,สังเคราะห์ ผสม
公然,こうぜん,openly,JLPT_1 JLPT,M(>QOkIhfA,เปิดเผย
抗争,こうそう,"dispute, resistance",JLPT_1 JLPT,Ayw{S[ULVi,ข้อพิพาท การต่อต้าน
構想,こうそう,"plan, plot, idea, conception",JLPT_1 JLPT,HJ3]TaFI5x,"แผน, โครงเรื่อง, แนวคิด, การวางแนวคิด"
後退,こうたい,"retreat, backspace",JLPT_1 JLPT,Hg(g(Ch73j,ถอยกลับ ลบออก
光沢,こうたく,"luster, glossy finish (of photographs)",JLPT_1 JLPT,sz+BIfx<J$,ความเงางาม ผิวมันเงา (ของภาพถ่าย)
公団,こうだん,public corporation,JLPT_1 JLPT,C&5}~^z)ts,บริษัทมหาชน
好調,こうちょう,"satisfactory, in good shape",JLPT_1 JLPT,fn+k2uN^.*,น่าพอใจ อยู่ในสภาพดี
口頭,こうとう,oral,JLPT_1 JLPT,mWZ1nL&l+A,ช่องปาก
講読,こうどく,reading,JLPT_1 JLPT,"cbt]L<,==)",การอ่าน
購読,こうどく,subscription,JLPT_1 JLPT,BPBnR~`=Cm,การสมัครสมาชิก
購入,こうにゅう,"purchase, buy",JLPT_1 JLPT,mN.]${Ep@o,"ซื้อ, ซื้อ"
公認,こうにん,"official recognition, authorization",JLPT_1 JLPT,f=;(Z+KSn*,การรับรองอย่างเป็นทางการ การอนุญาต
光熱費,こうねつひ,cost of fuel and light,JLPT_1 JLPT,CBInEbAiwn,ค่าใช้จ่ายด้านเชื้อเพลิงและแสงสว่าง
購買,こうばい,"purchase, buy",JLPT_1 JLPT,m|%voYE^yW,"ซื้อ, ซื้อ"
好評,こうひょう,"popularity, favorable reputation",JLPT_1 JLPT,PN?X>r5#3$,ความนิยม ชื่อเสียงที่ดี
交付,こうふ,"delivering, furnishing (with copies)",JLPT_1 JLPT,iWHq@iV7/S,"ส่งมอบ, จัดหา (พร้อมสำเนา)"
公募,こうぼ,"public appeal, public contribution",JLPT_1 JLPT,zuO/%#|pw9,การเรียกร้องจากประชาชน การบริจาคจากประชาชน
巧妙,こうみょう,"ingenious, skillful, clever",JLPT_1 JLPT,K0cz7g4lOn,ชาญฉลาด มีทักษะ ฉลาด
公用,こうよう,"government business, public use, public expense",JLPT_1 JLPT,E{n/tl9=Ih,"กิจการของรัฐ, การใช้งานสาธารณะ, ค่าใช้จ่ายสาธารณะ"
小売,こうり,retail,JLPT_1 JLPT,c_Z6-bZ>!E,ขายปลีก
効率,こうりつ,efficiency,JLPT_1 JLPT,zkc6-]4~)6,ประสิทธิภาพ
公立,こうりつ,public institution,JLPT_1 JLPT,FUSldz(S$f,สถาบันสาธารณะ
護衛,ごえい,"guard, convoy, escort",JLPT_1 JLPT,Bs7a.5p1{r,"ยาม, ขบวน, คุ้มกัน"
コーナー,コーナー,corner,JLPT_1 JLPT,n/T(.dj~.j,มุม
小柄,こがら,"small, diminutive",JLPT_1 JLPT,p|m2.?zBm2,เล็กจิ๋ว
小切手,こぎって,"cheque, check",JLPT_1 JLPT,vh>Pgi:y!n,เช็ค เช็ค
国産,こくさん,domestic products,JLPT_1 JLPT,NVGuI`wyWr,ผลิตภัณฑ์ภายในประเทศ
国定,こくてい,"state-sponsored, national",JLPT_1 JLPT,K:.NA{MA#,ได้รับการสนับสนุนจากรัฐบาล ระดับชาติ
告白,こくはく,"confession, acknowledgment",JLPT_1 JLPT,D/-Yon@zj7,การสารภาพ การยอมรับ
国防,こくぼう,national defense,JLPT_1 JLPT,gB_-ioo>5E,การป้องกันประเทศ
国有,こくゆう,national ownership,JLPT_1 JLPT,qhprC(Et1a,การเป็นเจ้าของระดับชาติ
極楽,ごくらく,paradise,JLPT_1 JLPT,MY-u/w:|X`,สวรรค์
国連,こくれん,"U.N., United Nations",JLPT_1 JLPT,PWdSCAXCS{,สหประชาชาติ
焦げ茶,こげちゃ,dark brown,JLPT_1 JLPT,z#D(l+D|+d,สีน้ำตาลเข้ม
語源,ごげん,"word root, word derivation, etymology",JLPT_1 JLPT,"wW7;mB,H-n","รากศัพท์, การสร้างคำ, นิรุกติศาสตร์"
心地,ここち,"feeling, sensation, mood",JLPT_1 JLPT,HRZ-ZZ((63,"ความรู้สึก, สัมผัส, อารมณ์"
心得,こころえ,"knowledge, information",JLPT_1 JLPT,r]B:&#9/Oj,ความรู้ ข้อมูล
心掛け,こころがけ,"readiness, intention, aim",JLPT_1 JLPT,v|gKw*kSA<,ความพร้อม ความตั้งใจ เป้าหมาย
心掛ける,こころがける,"to bear in mind, to aim to do",JLPT_1 JLPT,xF|-#cu_O[,"ที่ต้องคำนึงถึง, ที่ตั้งเป้าหมายที่จะทำ"
志,こころざし,"will, intention, motive",JLPT_1 JLPT,J^EH*N|S>D,เจตจำนง ความตั้งใจ แรงจูงใจ
志す,こころざす,"to plan, to intend, to aspire to",JLPT_1 JLPT,zc/071N?*?,"วางแผน, ตั้งใจ, มุ่งหวัง"
心強い,こころづよい,"heartening, reassuring",JLPT_1 JLPT,K>pZg]2z_[,น่ายินดี น่าอุ่นใจ
心細い,こころぼそい,"helpless, hopeless, discouraging",JLPT_1 JLPT,ve[sU52iIO,หมดหนทาง สิ้นหวัง ท้อแท้
試み,こころみ,"trial, experiment",JLPT_1 JLPT,LnQ-7#~J-i,"การทดลอง, การทดลอง"
試みる,こころみる,"to try, to test",JLPT_1 JLPT,qG!ugw]O{9,เพื่อลอง เพื่อทดสอบ
快い,こころよい,"pleasant, agreeable",JLPT_1 JLPT,eXTY5f2Ubn,"น่าพอใจ, สบายใจ"
誤差,ごさ,error,JLPT_1 JLPT,bE*}iimu/k,ข้อผิดพลาด
ございます (かん),ございます (かん),"to be (polite, to exist)",JLPT_1 JLPT,g2<)LlaRj=,เพื่อเป็น (อย่างสุภาพ คือ เพื่อดำรงอยู่)
孤児,こじ,orphan,JLPT_1 JLPT,Nru>c@<pc2,เด็กกำพร้า
こじれる,こじれる,"to get complicated, to grow worse",JLPT_1 JLPT,jQE(/ITykr,ซับซ้อนขึ้น แย่ลง
こす (みずを～),こす (みずを～),"to strain, to filter",JLPT_1 JLPT,P2WNAwMh[2,เพื่อกรอง เพื่อแยกส่วน
梢,こずえ,treetop,JLPT_1 JLPT,"P{..MI,|Mb",ยอดไม้
個性,こせい,"individuality, personality, idiosyncrasy",JLPT_1 JLPT,EsL6l#sj?m,ความเป็นเอกลักษณ์ บุคลิกภาพ ความแปลกประหลาดเฉพาะตัว
戸籍,こせき,"census, family register",JLPT_1 Intermediate_Japanese_Ln.14 JLPT Intermediate_Japanese,JOc{[NV4x8,สำมะโนประชากร ทะเบียนครอบครัว
古代,こだい,ancient times,JLPT_1 JLPT,s_N1oO.lmA,สมัยโบราณ
こたつ,こたつ,"table with heater, (originally) charcoal brazier in a floor well",JLPT_1 JLPT,O}EMl{I]K-,โต๊ะพร้อมเครื่องทำความร้อน (เดิมที) เตาถ่านในช่องพื้น
こだわる,こだわる,"to fuss over, to be particular about",JLPT_1 JLPT,Dw-&[Gy8N`,"เอาใจใส่เป็นพิเศษ, พิถีพิถัน"
誇張,こちょう,exaggeration,JLPT_1 JLPT,c]NsRC|}O%,การพูดเกินจริง
こつ (をつかむ),こつ (をつかむ),"secret, trick, hang",JLPT_1 JLPT,qPHur}V8b$,"ความลับ, กลอุบาย, การแขวน"
滑稽,こっけい,"funny, humorous, comical",JLPT_1 JLPT,v>_m`mFbvz,"ตลก, ขำขัน, ขำขัน"
国交,こっこう,diplomatic relations,JLPT_1 JLPT,d-(zI.D]7},ความสัมพันธ์ทางการทูต
骨董品,こっとうひん,curio,JLPT_1 JLPT,Dr0mqScf_b,ของแปลก
固定,こてい,"fixation, fixing (e.g., salary, capital)",JLPT_1 JLPT,g$6E|N|S:$,"การตรึง, การกำหนด (เช่น เงินเดือน, ทุน)"
事柄,ことがら,"matter, thing, affair, circumstance",JLPT_1 JLPT,F=ad!I0A}O,"เรื่อง, สิ่งของ, เรื่องราว, สถานการณ์"
孤独,こどく,"isolation, loneliness, solitude",JLPT_1 JLPT,"cT&=x,mI2c",ความโดดเดี่ยว ความเหงา ความสันโดษ
ことごとく,ことごとく,"altogether, entirely",JLPT_1 JLPT,dR[Sxf+^Ps,ทั้งหมด โดยสิ้นเชิง
言付け,ことづけ,to leave a message,JLPT_1 JLPT,kU+Y{Q}2@W,เพื่อฝากข้อความ
殊に,ことに,"especially, above all",JLPT_1 JLPT,en/8|n9S0h,โดยเฉพาะอย่างยิ่ง เหนือสิ่งอื่นใด
粉々,こなごな,in very small pieces,JLPT_1 JLPT,Kmg$=%neFc,ในชิ้นเล็ก ๆ
好ましい,このましい,"nice, likable, desirable",JLPT_1 JLPT,x#LKH<P4pQ,น่ารัก น่าเอ็นดู
碁盤,ごばん,Go board,JLPT_1 JLPT,zlA@Kkn)Y,ขึ้นบอร์ด
個別,こべつ,particular case,JLPT_1 JLPT,IS>`l#g_rF,กรณีเฉพาะ
ごまかす,ごまかす,"to deceive, to falsify, to misrepresent",JLPT_1 JLPT,p$tB:Q(vZY,"หลอกลวง, ปลอมแปลง, บิดเบือนความจริง"
細やか,こまやか,"meager, modest",JLPT_1 JLPT,w6sGv9Z]7>,น้อยนิด ปานกลาง
コマーシャル,コマーシャル,a commercial,JLPT_1 JLPT,pmxm=&|P?L,เชิงพาณิชย์
込める,こめる,"to include, to put into",JLPT_1 JLPT,FCbb2pT+SZ,"รวมเข้าไป, ใส่เข้าไป"
コメント,コメント,comment,JLPT_1 JLPT,cplDpvT[1o,ความคิดเห็น
籠もる,こもる,"to seclude oneself, to be confined in",JLPT_1 JLPT,KBSxgcpn$F,การปลีกตัวออกไป การถูกกักขังไว้ในที่ใดที่หนึ่ง
固有,こゆう,"characteristic, tradition, peculiar",JLPT_1 JLPT,yXV:}D_ozd,"ลักษณะเฉพาะ, ประเพณี, แปลกตา"
暦,こよみ,"calendar, almanac",JLPT_1 JLPT,jx:{}3HoK:,"ปฏิทิน, ปฏิทินประจำปี"
凝らす,こらす,"to concentrate, to devote, to peer into",JLPT_1 JLPT,oJEMYEm^we,เพื่อตั้งสมาธิ เพื่อทุ่มเท เพื่อพิจารณาอย่างถี่ถ้วน
ごらんなさい (かん),ごらんなさい (かん),"look, (please) try to do",JLPT_1 JLPT,N1BBvCZ=AZ,ดูสิ (โปรด) ลองทำดู
孤立,こりつ,"isolation, helplessness",JLPT_1 JLPT,xYDSYkNe4i,ความโดดเดี่ยว ความไร้ที่พึ่ง
懲りる,こりる,"to learn by experience, to be disgusted with",JLPT_1 JLPT,vbJg<?=y%j,เรียนรู้จากประสบการณ์ รู้สึกรังเกียจกับ
凝る,こる,"to stiffen, to harden",JLPT_1 JLPT,p)T=z%i7F[,"ทำให้แข็งตัว, ทำให้แข็งขึ้น"
根気,こんき,"patience; perseverance, energy",JLPT_1 JLPT,GDCM!r*##2,ความอดทน ความเพียร ความกระตือรือร้น
根拠,こんきょ,"basis, foundation",JLPT_1 JLPT,Grg-T-@C<M,พื้นฐาน รากฐาน
混血,こんけつ,"mixed race, mixed parentage",JLPT_1 JLPT,saDmLPZfe~,"เชื้อชาติผสม, เชื้อสายผสม"
コンタクト (レンズ),コンタクト (レンズ),contact; contact lens,JLPT_1 JLPT,DU{l0`Yee%,ติดต่อ; คอนแทคเลนส์
昆虫,こんちゅう,"insect, bug",JLPT_1 JLPT,P^F+-mx?ec,"แมลง, แมลง"
根底,こんてい,"root, basis, foundation",JLPT_1 JLPT,g6v%#_YbHK,ราก ฐาน รากฐาน
混同,こんどう,"confusion, mixing, merger",JLPT_1 JLPT,"M?|],Xch]L",ความสับสน การผสม การควบรวม
コントラスト,コントラスト,contrast,JLPT_1 JLPT,m2RkdF5Kfg,ตัดกัน
コントロール,コントロール,control,JLPT_1 JLPT,hZ|i&d%@k8,ควบคุม
コンパス,コンパス,compass,JLPT_1 JLPT,L6kv/h{mWx,เข็มทิศ
根本,こんぽん,"foundation, root, base",JLPT_1 JLPT,I>Va~AQW*%,รากฐาน ราก ฐาน
財,ざい,"fortune, riches",JLPT_1 JLPT,Lg^]^#Fui$,โชคลาภ ทรัพย์สมบัติ
再会,さいかい,"meeting again, reunion",JLPT_1 JLPT,nK{EZH)j58,พบกันอีกครั้ง การกลับมาพบกันอีกครั้ง
災害,さいがい,"calamity, disaster, misfortune",JLPT_1 JLPT,s/:E%{jbbX,"ภัยพิบัติ, ความโชคร้าย"
細菌,さいきん,"bacillus, bacterium, germ",JLPT_1 JLPT,I!s+/_djx3,"แบคทีเรีย, เชื้อจุลินทรีย์"
細工,さいく,"work, craftsmanship, trick",JLPT_1 JLPT,ouX.|>$33M,"งาน, ฝีมือ, กลเม็ด"
採掘,さいくつ,mining,JLPT_1 JLPT,Qb&n#ag5.U,การทำเหมือง
サイクル,サイクル,cycle,JLPT_1 JLPT,CwR.:*^K)],วงจร
採決,さいけつ,"vote, roll call",JLPT_1 JLPT,dGyNtnPzfu,การลงคะแนน การเรียกชื่อ
再建,さいけん,(temple or shrine) rebuilding,JLPT_1 JLPT,oY^(hGDwBB,(การสร้างวัดหรือศาลเจ้าขึ้นใหม่)
再現,さいげん,"reproduction, return, revival",JLPT_1 JLPT,j$Iu*3{(HU,การสืบพันธุ์ การกลับมา การฟื้นคืนชีพ
財源,ざいげん,"source of funds, resources, finances",JLPT_1 JLPT,gD`:Vm3DD=,แหล่งที่มาของเงินทุน ทรัพยากร การเงิน
在庫,ざいこ,"stockpile, stock",JLPT_1 JLPT,I`6&P}MLhB,"สต็อก, สินค้าคงคลัง"
採算,さいさん,profit,JLPT_1 JLPT,z3sqnTBL(n,กำไร
サイズ,サイズ,size,JLPT_1 JLPT,J0]k_!eDR<,ขนาด
再生,さいせい,"playback, regeneration, resuscitation",JLPT_1 JLPT,hGl1Th{bx@,การเล่นซ้ำ การสร้างใหม่ การฟื้นคืนชีพ
財政,ざいせい,"economy, financial affairs",JLPT_1 JLPT,PbUztxpH:],เศรษฐกิจ การเงิน
最善,さいぜん,the very best,JLPT_1 JLPT,M-1H]L<~pq,ดีที่สุด
採択,さいたく,"adoption, selection, choice",JLPT_1 JLPT,e+cLZEXhDr,การรับเลี้ยง การคัดเลือก ทางเลือก
栽培,さいばい,cultivation,JLPT_1 JLPT,uC68c<~cH),การเพาะปลูก
再発,さいはつ,"return, relapse, reoccurrence",JLPT_1 JLPT,CS^Rshk:|8,การกลับมา การกำเริบ การเกิดขึ้นซ้ำ
細胞,さいぼう,cell,JLPT_1 JLPT,CzyHns{dm!,เซลล์
採用,さいよう,"use, adopt",JLPT_1 JLPT,"vMLF5(iO,d",ใช้ ปรับใช้
遮る,さえぎる,"to interrupt, to intercept, to obstruct",JLPT_1 JLPT,QMaal]q?M$,"ขัดจังหวะ, สกัดกั้น, ขัดขวาง"
さえずる,さえずる,"to sing, to chirp, to twitter",JLPT_1 JLPT,r@Q>;L$}V-,ร้องเพลง ส่งเสียงเจื้อยแจ้ว ส่งเสียงร้องจิ๊บๆ
冴える,さえる,"to be clear, to be bright, to be skillful",JLPT_1 JLPT,F_K.fXalP!,เพื่อให้ชัดเจน เพื่อให้สดใส เพื่อให้มีทักษะ
竿,さお,"rod, pole (e.g., for drying laundry)",JLPT_1 JLPT,v^.R1:=Y[p,"ราว, เสา (เช่น สำหรับตากผ้า)"
栄える,さかえる,"to flourish, to prosper, to thrive",JLPT_1 JLPT,w`<;(n%DdJ,"เจริญรุ่งเรือง, มั่งคั่ง, เติบโต"
差額,さがく,"balance, difference, margin",JLPT_1 JLPT,gAXt@5CeYh,"ยอดคงเหลือ, ส่วนต่าง, กำไร"
杯,さかずき,wine cup,JLPT_1 JLPT,QIw#3oSw.:,ถ้วยไวน์
逆立ち,さかだち,"handstand, headstand",JLPT_1 JLPT,ec~&YKW}51,"ยืนด้วยมือ, ยืนด้วยศีรษะ"
さきに (いぜん),さきに (いぜん),"before, earlier than, previously",JLPT_1 JLPT,uh`5:/)TWv,"ก่อนหน้า, ก่อนหน้านี้, ก่อนหน้านี้"
詐欺,さぎ,"fraud, swindle",JLPT_1 JLPT,w6]yB.g{E!,"การฉ้อโกง, การหลอกลวง"
削減,さくげん,"cut, reduction",JLPT_1 JLPT,k7zRyZ_D=o,การตัด การลด
錯誤,さくご,mistake,JLPT_1 JLPT,IDfkC-Cw&L,ความผิดพลาด
作戦,さくせん,"military operations, tactics, strategy",JLPT_1 JLPT,s$Xs?1nQ+e,ปฏิบัติการทางทหาร ยุทธวิธี กลยุทธ์
叫び,さけび,"shout, scream, outcry",JLPT_1 JLPT,nqYX]L]Y*r,ตะโกน กรีดร้อง ร้องโหยหวน
捧げる,ささげる,"to lift up, to give, to offer",JLPT_1 JLPT,KhanDj}|vd,เพื่อยกขึ้น เพื่อให้ เพื่อมอบให้
差し掛かる,さしかかる,"to come near to, to approach",JLPT_1 JLPT,IM%WW[zOZk,"เข้าใกล้, เข้าหา"
指図,さしず,"instruction, mandate",JLPT_1 JLPT,N1]Ah`4~bh,"คำสั่ง, ข้อบังคับ"
差し出す,さしだす,"to present, to submit, to hold out",JLPT_1 JLPT,A&xf;%;bo<,"นำเสนอ, ยื่นเสนอ, ยื่นแสดง"
差し支える,さしつかえる,"to interfere, to hinder",JLPT_1 JLPT,ve>x:VMBVJ,แทรกแซง ขัดขวาง
授ける,さずける,"to grant, to award, to teach",JLPT_1 JLPT,h.+pAO9bEu,"มอบให้, มอบรางวัล, สอน"
摩する,さする,"to rub, to stroke",JLPT_1 JLPT,yQu&Wz5|+#,"ถู, ลูบ"
さぞ (さぞや。さぞかし),さぞ (さぞや。さぞかし),"I am sure, certainly, no doubt",JLPT_1 JLPT,FE`C@V&t[f,ฉันมั่นใจ อย่างแน่นอน ไม่มีข้อสงสัยใดๆ
定まる,さだまる,"to become settled, to be fixed",JLPT_1 JLPT,"Ly=j.,,]V@",เพื่อให้มั่นคง เพื่อให้คงที่
定める,さだめる,"to decide, to determine",JLPT_1 JLPT,MNqx6`F)B2,เพื่อตัดสินใจ เพื่อกำหนด
座談会,ざだんかい,"symposium, round-table discussion",JLPT_1 JLPT,d!+{3%PNo},การประชุมสัมมนา การอภิปรายแบบโต๊ะกลม
雑,ざつ,"rough, crude",JLPT_1 JLPT,PqMu^a?1a^,"หยาบ, ดิบ"
雑貨,ざっか,"miscellaneous goods, general goods",JLPT_1 JLPT,r5VCxxHAy|,"สินค้าเบ็ดเตล็ด, สินค้าทั่วไป"
殺人,さつじん,murder,JLPT_1 JLPT,tM%DouVsND,ฆาตกรรม
察する,さっする,"to guess, to sense, to judge",JLPT_1 JLPT,LGG(>{BjoV,"เดา, รับรู้, ตัดสิน"
雑談,ざつだん,"chatting, idle talk",JLPT_1 JLPT,DK#>y3UE4B,"พูดคุยเล่นๆ, คุยเรื่องไร้สาระ"
さっと,さっと,"suddenly, smoothly",JLPT_1 JLPT,EKYb(VaO4Q,ทันทีทันใด อย่างราบรื่น
さっぱりする,さっぱりする,to refresh,JLPT_1 JLPT,H|ANTa=Wl{,เพื่อรีเฟรช
悟る,さとる,"to attain enlightenment, to understand",JLPT_1 JLPT,v:Q4euCfA7,เพื่อบรรลุการตรัสรู้ เพื่อเข้าใจ
最中,さなか,"in the middle of, midst",JLPT_1 JLPT,A!j+&nF3Wn,"ตรงกลาง, ท่ามกลาง"
座標,ざひょう,coordinates,JLPT_1 JLPT,B0L0!.A0?},พิกัด
さほど,さほど,"not so, not that much",JLPT_1 JLPT,Eqh)/a:JaN,ไม่มากขนาดนั้นหรอก
サボる,サボる,to cut (skip) classes; to loaf on the job; to idle away one's time,JLPT Genki_Ln.11 Intermediate_Japanese JLPT_1 Intermediate_Japanese_Ln.13 Genki,AVLvOaz~KF,โดดเรียน; ทำงานไม่เต็มที่; ปล่อยเวลาให้ผ่านไปโดยเปล่าประโยชน์
様,さま,state; way (a person does something); Mr. or Mrs.,JLPT_1 JLPT Intermediate_Japanese Intermediate_Japanese_Ln.11,lj0_)hI7Ez,สถานะ; วิธี (ที่บุคคลกระทำบางสิ่ง); นายหรือนาง
寒気,さむけ,"chill, shiver, cold",JLPT_1 JLPT,N#;$qw^KPE,หนาวสั่น หนาว
侍,さむらい,samurai,JLPT_1 JLPT Intermediate_Japanese_Ln.7 Intermediate_Japanese,g}?p(/xug4,ซามูไร
さも,さも,"with gusto, with satisfaction",JLPT_1 JLPT,Gm-[^5Ln&h,ด้วยความกระตือรือร้น ด้วยความพึงพอใจ
作用,さよう,"operation, effect, function",JLPT_1 JLPT,"Oof8u=,|uS",การดำเนินการ ผลกระทบ ฟังก์ชัน
さらう (こどもを～),さらう (こどもを～),to kidnap,JLPT_1 JLPT,B@RtBWjh/W,ลักพาตัว
障る,さわる,"to hinder, to interfere with, to affect",JLPT_1 JLPT,Di(J(kaH;V,ขัดขวาง แทรกแซง ส่งผลกระทบ
酸,さん,acid,JLPT_1 JLPT,k/LaLYL|r#,กรด
山岳,さんがく,mountains,JLPT_1 JLPT,nJs0S#DzgO,ภูเขา
参議院,さんぎいん,House of Councilors,JLPT_1 JLPT,O7n.x?;S]&,สภาผู้แทนราษฎร
産休,さんきゅう,maternity leave,JLPT_1 JLPT,k`Pzt}i$UW,การลาคลอด
サンキュー,サンキュー,thank you,JLPT_1 JLPT,rQ2myGNLp<,ขอบคุณ
残金,ざんきん,remaining money,JLPT_1 JLPT,E</lr>b527,เงินที่เหลืออยู่
産後,さんご,"postpartum, after childbirth",JLPT_1 JLPT,"Pge/h!,u.x","หลังคลอด, หลังคลอดบุตร"
残酷,ざんこく,"cruelty, harshness",JLPT_1 JLPT,snLE.]5(UV,ความโหดร้าย ความรุนแรง
産出,さんしゅつ,"yield, produce",JLPT_1 JLPT,AItAE0vKn;,"ผลผลิต, ผลิต"
参照,さんしょう,"reference, consultation, consultation",JLPT_1 JLPT,Q=29PP)W-_,การอ้างอิง การปรึกษา การให้คำปรึกษา
