expression,reading,meaning,tags,guid,ความหมาย
～歌,～か,song of ~,JLPT JLPT_2,b!q>|EX?]V,"เพลงของ ~, บทเพลงของ ~, ลำนำของ ~, เพลงประจำ ~"
～画,～が,"picture, painting",JLPT_1 JLPT JLPT_2,A:x.SahEv8,"ภาพวาด, ภาพเขียน, รูปภาพ, จิตรกรรม"
～外,～がい,out of ~,JLPT JLPT_2,v.D6N)Jn-M,"จาก ~, ภายนอก ~, นอกเหนือ ~, นอก ~"
～難い,～がたい,hard (difficult) to do ~,JLPT_1 JLPT JLPT_2,q5_^x`K^C~,"ยาก (ลำบาก) ที่จะทำ ~, ยากที่จะ ~, ทำได้ยาก ~, กระทำยาก ~"
～がち,～がち,tend to do ~,JLPT JLPT_2,"HC!2|,O=Uv","มักจะทำแบบนั้น ~, มีแนวโน้มที่จะ ~, โน้มเอียงที่จะ ~, มักทำ ~"
～刊,～かん,"~ issued (magazine, newspaper)",JLPT JLPT_2,J]XIoil*2L,"~ ออกจำหน่าย (นิตยสาร, หนังสือพิมพ์), ~ ฉบับ, ~ ตีพิมพ์"
～間,～かん,"between, during",JLPT JLPT_2,Qm1qWlocEP,"ระหว่าง, ในช่วง, ระยะเวลา, ช่องว่าง"
～巻,～かん,volume,JLPT JLPT_2,K19uzsMb_o,"ปริมาณ, เล่ม, ฉบับ, จำนวน"
～館,～かん,"~ hall, ~ building",JLPT JLPT_2,c3uPE$j0G@,"~ ห้องโถง ~ อาคาร, ~ หอประชุม, ~ โรง, ~ ตึก"
～感,～かん,"feeling, sense, impression",JLPT JLPT_2,gv?{M:3Nl+,"ความรู้สึก สัมผัส ความประทับใจ, อารมณ์, ความรู้สึกนึกคิด, เจตคติ"
～期,～き,"~age, ~period",JLPT JLPT_2,kCfW%K6Q|D,"~อายุ, ~ช่วงเวลา, ~ ยุค, ~ สมัย"
～器,～き,"device, equipment",JLPT JLPT_2,u+~Y!_LNSC,"อุปกรณ์, เครื่องใช้, เครื่องมือ, ภาชนะ"
～機,～き,machine,JLPT JLPT_2,k3|o@N56?1,"เครื่องจักร, กลไก, อุปกรณ์, เครื่องยนต์"
～気味,～ぎみ,slightly ~,JLPT JLPT_2,H[Vo.[BxaR,"เล็กน้อย ~, ออกจะ ~, ค่อนข้าง ~, นิดหน่อย ~"
～教,～きょう,religion,JLPT JLPT_2,"vbb{{,/z36","ศาสนา, ความเชื่อ, ลัทธิ, คำสอน"
～行,～ぎょう,"line, row",JLPT JLPT_2,E5TA@2@XRb,"แถว, เส้น, คิว, แนวนอน"
～業,～ぎょう,type of business,JLPT JLPT_2,r#B%nh/j8;,"ประเภทธุรกิจ, อุตสาหกรรม, อาชีพ, กิจการ"
～きる,～きる,"nevertheless, to carry through",JLPT JLPT_2,lY)YcCGPox,"อย่างไรก็ตาม เพื่อดำเนินการให้สำเร็จ, ทำจนจบ, ทำเสร็จสิ้น, ทำให้สำเร็จ"
～切れ,～きれ,out of ~,JLPT JLPT_2,BI!R8>v)8r,"จาก ~, หมด ~, ขาดแคลน ~, ไม่เหลือ ~"
～口,～くち,"~ opening; ~ entrance, ~ exit",JLPT JLPT_2,pT(<V!lc5R,"~ ช่องเปิด; ~ ทางเข้า, ~ ทางออก, ~ ปากทาง, ~ จุดเข้า"
～家,～け,"~'s family, the house of ~",JLPT JLPT_2,OVLMa7l[Gn,"ครอบครัวของ ~ บ้านของ ~, ตระกูลของ ~, วงศ์ของ ~, สกุลของ ~"
～形,～けい,shape of ~,JLPT JLPT_2,M3p*&+Wj>%,"รูปร่างของ ~, แบบของ ~, ลักษณะของ ~, โครงสร้างของ ~"
～系,～けい,"~ system, ~ lineage, ~ group",JLPT_1 JLPT JLPT_2,AgNe/GkjZM,"~ ระบบ ~ วงศ์ตระกูล ~ กลุ่ม, ~ ประเภท, ~ ชนิด, ~ สายเลือด"
～圏,～けん,"bloc, sphere, area",JLPT_1 JLPT JLPT_2,Ddk.oC`&.J,"บล็อก, ทรงกลม, พื้นที่, ขอบเขต"
～校,～こう,counter for school,JLPT JLPT_2,m]41H0.3l-,"เคาน์เตอร์สำหรับโรงเรียน, ~ สถานศึกษา, ~ สถาบัน, ~ วิทยาลัย"
～港,～こう,~ port,JLPT JLPT_2,vQbZYeISYX,"~ ท่าเรือ, ~ อ่าว, ~ ท่า, ~ แหล่งจอดเรือ"
～号,～ごう,counter for magazine; the name of ship,JLPT JLPT_2,qiAK;eRQt!,"ตัวนับสำหรับนิตยสาร; ชื่อเรือ, ~ ฉบับ (นิตยสาร), ~ ลำ (เรือ), ~ หมายเลข"
～国,～こく,nation of ~,JLPT JLPT_2,m~(IN:3:#0,"ประเทศของ ~, ชาติของ ~, ดินแดนของ ~, รัฐของ ~"
～毎,～ごと,"every ~, each ~",JLPT JLPT_2,Bs7#M8Tn1H,"ทุกๆ ~, แต่ละ ~, ทุกครั้ง ~, ทีละ ~"
～山,～さん,the name of mountain,JLPT JLPT_2,vw^f*9f$12,"ชื่อของภูเขา, ~ ภูเขา, ~ ดอย, ~ ยอดเขา"
～産,～さん,made in ~,JLPT JLPT_2,tJtC7!P@]H,"ผลิตใน ~, ผลิตจาก ~, สร้างใน ~, ทำใน ~"
～史,～し,history of ~,JLPT JLPT_2,y`(f6xau3#,"ประวัติศาสตร์ของ ~, พงศาวดารของ ~, เรื่องราวของ ~, อดีตของ ~"
～紙,～し,"newspaper, type of paper",JLPT JLPT_2,y0d}(mMiCt,"หนังสือพิมพ์ ประเภทของกระดาษ, กระดาษ, เอกสาร, แผ่นกระดาษ"
～寺,～じ,the name of temple,JLPT JLPT_2,Nj@/ru^JH5,"ชื่อของวัด, ~ อาราม, ~ โบสถ์, ~ วิหาร"
～時間目,～じかんめ,"~th hour, ~th period",JLPT JLPT_2,LonTM0:Ie8,"ชั่วโมงที่ ~, คาบที่ ~, ~ คาบเรียน, ~ ครั้งที่"
～室,～しつ,counter for room,JLPT JLPT_2,eycwn`U+hZ,"เคาน์เตอร์สำหรับห้อง, ~ ห้อง, ~ ส่วนของห้อง, ~ แผนกห้อง"
～日,～じつ,day,JLPT JLPT_2,jkFuTgpXi`,"วัน, วันที่, กลางวัน, รายวัน"
～車,～しゃ,~ car,JLPT JLPT_2,h)<Q^X85ag,"~ รถยนต์, ~ รถ, ~ ยานพาหนะ, ~ พาหนะ"
～者,～しゃ,person,JLPT JLPT_2,MTv(a]7l!6,"บุคคล, ผู้คน, คน, สมาชิก"
～社,～しゃ,counter for company,JLPT JLPT_2,sQmjhXA-Mr,"เคาน์เตอร์สำหรับบริษัท, ~ บริษัท, ~ ห้างหุ้นส่วน, ~ องค์กร"
～手,～しゅ,"~ player, person who does ~",JLPT JLPT_2,IkixzX56yl,"~ ผู้เล่น, บุคคลที่ทำ ~, ~ นักแสดง, ~ ฝีมือ"
～酒,～しゅ,kind of alcohol,JLPT JLPT_2,k?BC&(RjAH,"แอลกอฮอล์ชนิดหนึ่ง, เหล้า, เครื่องดื่มแอลกอฮอล์, สุรา"
～集,～しゅう,collection of ~,JLPT JLPT_2,LdT;R@utl1,"คอลเลกชันของ ~, รวม ~, ชุด ~, การรวบรวมของ ~"
～所,～しょ,place,JLPT JLPT_2,qVV9fum9%7,"สถานที่, ที่ตั้ง, บริเวณ, ถิ่น"
～所,～じょ,place,JLPT JLPT_2,cE:Y(}3[Wc,"สถานที่, แห่ง, จุด, ตำแหน่ง"
～女,～じょ,count for sisters,JLPT JLPT_2,D4j(w~c1gi,"นับสำหรับพี่สาวน้องสาว, ~ คน (สำหรับผู้หญิง), ~ หญิง, ~ ราย (สำหรับผู้หญิง)"
～省,～しょう,kind of ministry,JLPT JLPT_2,v9~DY$oS}A,"ประเภทของกระทรวง, ~ กระทรวง, ~ ทบวง, ~ กรม"
～商,～しょう,"merchant, business",JLPT JLPT_2,DK0!oyaXJR,"พ่อค้า นักธุรกิจ, ผู้ประกอบการ, ผู้ค้า, นักการค้า"
～勝,～しょう,count for victory,JLPT JLPT_2,E_qw?Tzvk_,"นับเพื่อชัยชนะ, ~ ครั้งที่ชนะ, ~ ชัยชนะ, ~ การได้เปรียบ"
～条,～じょう,counter for article,JLPT_1 JLPT JLPT_2,q^S9+[e=*b,"ตัวนับสำหรับบทความ, ~ ข้อ, ~ มาตรา, ~ อนุมาตรา"
～場,～じょう,"kind of field, ground",JLPT JLPT_2,eh5O)[W8C@,"ประเภทของทุ่งนา, พื้นดิน, ~ สนาม, ~ สถานที่"
～畳,～じょう,"count for tatami, mat",JLPT JLPT_2,gXTr~P6_;?,"นับสำหรับเสื่อทาทามิ, ~ แผ่น (เสื่อ), ~ ผืน (เสื่อ), ~ ชิ้น (เสื่อ)"
～色,～しょく,kind of color,JLPT JLPT_2,w$+z1REIYB,"สีชนิดหนึ่ง, ~ สี, ~ โทนสี, ~ เฉดสี"
～過ぎる,～すぎる,too much ~,JLPT JLPT_2,"P,ja3J!YLK","มากเกินไป ~, เกินไป ~, มากไป ~, เหลือล้น ~"
～済,～ずみ,finished,JLPT JLPT_2,ncGw.Yh;>r,"ที่เสร็จเรียบร้อย, เสร็จสิ้น, เรียบร้อยแล้ว, เสร็จสมบูรณ์"
～席,～せき,counter for seats,JLPT JLPT_2,sr9PdG~4;[,"เคาน์เตอร์สำหรับที่นั่ง, ~ ที่นั่ง, ~ ตำแหน่งที่นั่ง, ~ เก้าอี้"
～船,～せん,counter for ships,JLPT JLPT_2,JSy<S}QGsV,"เคาน์เตอร์สำหรับเรือ, ~ ลำ (เรือ), ~ ลำเรือ, ~ การเดินเรือ"
～戦,～せん,"counter for games, matches",JLPT JLPT_2,M$gHOq[jYN,"ตัวนับเกม การแข่งขัน, ~ เกม, ~ รอบ, ~ นัด"
～前,～ぜん,before ~,JLPT JLPT_2,DTK5j`gi24,"ก่อน ~, หน้า ~, ข้างหน้า ~, ก่อนหน้า ~"
～沿い,～そい,along,JLPT JLPT_2,"sbv*I,a%(h","ตาม, เลียบ ~, ริม ~, ขนาน ~"
～艘,～そう,counter for ships,JLPT JLPT_2,AT^w8|Z/Tg,"เคาน์เตอร์สำหรับเรือ, ~ ลำ (เรือ), ~ เรือ, ~ พาหนะทางน้ำ"
～足,～そく,counter for shoes,JLPT JLPT_2,q&YH/C!y&b,"เคาน์เตอร์ขายรองเท้า, ~ คู่ (รองเท้า), ~ ข้าง (รองเท้า), ~ รองเท้า"
～だらけ,～だらけ,"be full of ~, be filled with ~",JLPT JLPT_2,C*zDXpDGOo,"เต็มไปด้วย ~, มีแต่ ~, เปื้อน ~, เกลื่อน"
～団,～だん,"group, corps, party",JLPT JLPT_2,"JAUz(u,OT1","กลุ่ม, กองทัพ, พรรค, หมู่คณะ"
～着,～ちゃく,counter for clothes; finishing place,JLPT JLPT_2,LNy/i0~?h*,"เคาน์เตอร์สำหรับเสื้อผ้า; สถานที่ตกแต่งขั้นสุดท้าย, ~ ตัว (เสื้อผ้า), ~ ชิ้น (เสื้อผ้า), ~ ปลายทาง"
～庁,～ちょう,"office, agency",JLPT JLPT_2,Nh*HbZ~CkX,"สำนักงาน หน่วยงาน, กรม, ทบวง, องค์กร"
～兆,～ちょう,trillion,JLPT JLPT_2,jHeL$YV:ox,"ล้านล้าน, พันพันล้าน, เลขขนาดใหญ่, จำนวนมหาศาล"
～長,～ちょう,"leader, head",JLPT JLPT_2,i0hy<f%]dq,"ผู้นำ, หัวหน้า, ประธาน, ผู้บริหาร"
～帳,～ちょう,"~ book, notebook",JLPT JLPT_2,e.I(|go>z(,"~ หนังสือ, สมุดบันทึก, ~ บันทึก, ~ สมุด"
～丁目,～ちょうめ,"~ district (of a town; city, block)",JLPT JLPT_2,z[Zeu>wor`,"~ เขต (ของเมือง; เขต/บล็อก), ~ แขวง, ~ ย่าน, ~ ละแวก"
～通,～つう,counter for letters,JLPT JLPT_2,gcs`gQZBri,"ตัวนับตัวอักษร, ~ ฉบับ (จดหมาย), ~ ข้อความ, ~ ประโยค"
～遣い,～づかい,use of ~,JLPT JLPT_2,C?GOcbN8fi,"การใช้ ~, การนำไปใช้ ~, การใช้ประโยชน์จาก ~, การใช้สอย ~"
～付,～つき,with ~,JLPT JLPT_2,L%2+~L_:IY,"กับ ~, พร้อม ~, มี ~, แนบ ~"
～続く,～つづく,"follow, continue, go on",JLPT JLPT_2,u%o(or2@%{,"ติดตาม ต่อไป เดินหน้าต่อไป, ดำเนินต่อ, สืบเนื่อง, สานต่อ"
～辛い,～づらい,hard to do ~,JLPT JLPT_2,u@W}x:nhL8,"ยากที่จะทำ ~, ทำได้ยาก ~, ทำลำบาก ~, เป็นไปได้ยาก ~"
～滴,～てき,drop,JLPT JLPT_2,J%ti108Zf0,"หยด, ~ หยด, ~ เม็ด (ของเหลว), ~ นิดหน่อย"
～点,～てん,counter for scores,JLPT JLPT_2,Q=wx{JnD0/,"ตัวนับคะแนน, ~ คะแนน, ~ แต้ม, ~ จุด"
～頭,～とう,counter for animals,JLPT JLPT_2,Q04jNq<%}1,"ตัวนับสำหรับสัตว์, ~ ตัว (สัตว์ใหญ่), ~ สัตว์, ~ จำนวนสัตว์"
～等,～とう,"level, place",JLPT JLPT_2,t~N);db(/R,"ระดับ, สถานที่, ชนชั้น, ลำดับ"
～島,～とう,kind of islands,JLPT JLPT_2,xDO?MQ[t-7,"เกาะประเภทหนึ่ง, ~ เกาะ, ~ หมู่เกาะ, ~ ดินแดนเกาะ"
～道,～どう,"kind of path, road",JLPT JLPT_2,NK#jvaQLbz,"ทางเดิน ถนน, เส้นทาง, วิถี, หนทาง"
～通り,～とおり,"in accordance with ~; following ~; ~ street, ~ avenue",JLPT JLPT_2,i!k>vq-guB,"ตาม ~; ตาม ~; ถนน ~, ทางหลวง ~, สอดคล้องกับ ~, ตามแนว ~"
～ところ,～ところ,about to do ~,JLPT JLPT_2,B;8DjvC&9},"กำลังจะทำ ~, ใกล้จะทำ ~, จวนจะทำ ~, เตรียมจะทำ ~"
～内,～ない,inside ~,JLPT JLPT_2,K?<zC9:h:N,"ข้างใน ~, ภายใน ~, ใน ~, ด้านใน ~"
～年生,～ねんせい,counter for school year,JLPT JLPT_2,seB~`F&UPJ,"ตัวนับสำหรับปีการศึกษา, ~ ชั้นปี, ~ ปี (การศึกษา), ~ นักเรียนชั้น"
～泊,～はく,"counter for staying (e.g., 2 nights)",JLPT JLPT_2,PblG<4:M5~,"จำนวนคืนที่เข้าพัก (เช่น 2 คืน), ~ คืน (ที่พัก), ~ ราตรี, ~ การค้างคืน"
～発,～はつ,counter for bullets,JLPT JLPT_2,e#d]&/=XN},"ตัวนับกระสุน, ~ นัด (กระสุน), ~ ครั้ง (ยิง), ~ ลูก (กระสุน)"
～番目,～ばんめ,~th,JLPT JLPT_2,i*esVeP_ak,"~th, ~ ลำดับที่, ~ ที่, ~ อันดับ"
～費,～ひ,cost of ~,JLPT JLPT_2,u[jm+{6L3X,"ค่าใช้จ่ายของ ~, ค่า ~, รายจ่ายของ ~, ราคาของ ~"
～病,～びょう,kind of disease,JLPT JLPT_2,A*!}.Pwu5m,"โรคชนิดหนึ่ง, ~ โรค, ~ อาการป่วย, ~ ภาวะเจ็บป่วย"
～部,～ぶ,~ part,JLPT JLPT_2,fPDrnMwV)X,"~ ส่วน, ~ แผนก, ~ หน่วย, ~ ภาค"
～風,～ふう,~ style,JLPT JLPT_2,l^t;?>.nOp,"~ สไตล์, ~ แบบ, ~ อย่าง, ~ ลักษณะ"
～振り,～ぶり,after an interval of ~,JLPT JLPT_2,;^fUn`g0d,"หลังจากช่วงเวลาประมาณ ~, หลังจาก ~, ในรอบ ~, เป็นเวลา ~"
～遍,～へん,time,JLPT JLPT_2,K&5Px_U7gs,"เวลา, ครั้ง, รอบ, หน"
～弁,～べん,"speech, dialect",JLPT JLPT_2,jOUF!M-NS3,"การพูด, ภาษาถิ่น, คำพูด, สำเนียง"
～歩,～ほ,"step, pace",JLPT JLPT_2,Bd!L5Wz^Su,"ก้าว, ก้าวเดิน, การเดิน, จังหวะ"
～ぽい,～ぽい,~ish,JLPT JLPT_2,f_=g;f`{~[,"ประมาณนั้น, ดูเหมือน ~, คล้าย ~, ท่าทาง ~"
～ほう (ひかく),～ほう (ひかく),(in comparison),JLPT JLPT_2,bVM<L+hK+`,"(เมื่อเปรียบเทียบกัน), ในด้าน ~, เมื่อเทียบกับ ~, ในทาง ~"
～みたい,～みたい,looks like ~,JLPT JLPT_2,N{CD^3;+~1,"ดูเหมือนว่า ~, เหมือน ~, คล้าย ~, ราวกับว่า ~"
～向け,～むけ,for ~,JLPT JLPT_2,"Gc8ij%t,3=","สำหรับ ~, เพื่อ ~, มุ่งเป้าไปที่ ~, เหมาะสำหรับ ~"
～名,～めい,counter for people,JLPT JLPT_2,u?LD1<v]&U,"เคาน์เตอร์สำหรับคน, ~ คน, ~ ท่าน, ~ ราย"
～もち,～もち,person who has ~,JLPT JLPT_2,kcFc6H|EaR,"บุคคลที่มี ~, ผู้มี ~, เจ้าของ ~, ผู้ครอบครอง ~"
～問,～もん,counter for questions,JLPT JLPT_2,r$GN8{}74-,"ตัวนับคำถาม, ~ ข้อ (คำถาม), ~ คำถาม, ~ ปัญหา"
～夜,～や,counter for nights,JLPT JLPT_2,Cczj9?Yw&<,"เคาน์เตอร์สำหรับคืน, ~ คืน, ~ ราตรี, ~ เวลาค่ำคืน"
～等,～ら,plural persons,JLPT JLPT_2,yo94:>GuX6,"บุคคลหลายคน, พวก ~, เหล่า ~, บรรดา ~"
～流,～りゅう,"fashion, manner, way",JLPT JLPT_2,zpH1qv^$%p,"แฟชั่น, มารยาท, วิธีการ, รูปแบบ"
～料,～りょう,"fare, charge",JLPT JLPT_2,IX116ZKh4C,"ค่าโดยสาร, ค่าบริการ, ค่าธรรมเนียม, ค่าใช้จ่าย"
～領,～りょう,territory,JLPT JLPT_2,MXZX<Kqb>,"อาณาเขต, เขตแดน, ดินแดน, พื้นที่ปกครอง"
～力,～りょく,power of ~,JLPT JLPT_2,G<sBHiz^]!,"พลังของ ~, แรงของ ~, กำลังของ ~, ศักยภาพของ ~"
～論,～ろん,theory,JLPT JLPT_2,"ec<,e&v$V7","ทฤษฎี, แนวคิด, หลักการ, สมมติฐาน"
～羽,～わ,counter for rabbits; birds,JLPT JLPT_2,FQL)TF/a}O,"ตัวนับกระต่าย; นก, หน่วยนับ, คำลักษณนาม, ลักษณนามสัตว์ปีก"
相変わらず,あいかわらず,"as usual, as always, as before, as ever, still",JLPT JLPT_2,B>ep8MopYw,"เช่นเคย เช่นเคย เหมือนก่อนหน้านี้ เหมือนเคยเสมอมา ยังคง, ตามปกติ, ตามเคย, เหมือนเดิม"
アイデア; アイディア,アイデア; アイディア,idea,JLPT JLPT_2,NkL-h!TKp$,"ความคิด, แนวคิด, ข้อเสนอ, ทัศนะ"
あいまい,あいまい,"vague, ambiguous",JLPT JLPT_2,"y8aZ,my]%p","คลุมเครือ ไม่ชัดเจน, กำกวม, ไม่แน่นอน, ไม่แจ่มชัด"
扇ぐ,あおぐ,"to fan, to flap",JLPT JLPT_2,Gk2+[0&j}c,"พัด, กระพือปีก, โบก, สะบัด"
青白い,あおじろい,pale,JLPT JLPT_2,B[(dutQ)|%,"ซีด, ซีดเซียว, เผือด, จาง"
呆れる,あきれる,"to be shocked, to be appalled",JLPT JLPT_2,o8s#rYeo4>,"รู้สึกตกใจ รู้สึกสยดสยอง, ตกตะลึง, ประหลาดใจ, ผงะ"
アクセント,アクセント,accent,JLPT JLPT_2,"w=+|,GhTIn","สำเนียง, น้ำเสียง, การออกเสียง, วรรณยุกต์"
あくび,あくび,yawn,JLPT JLPT_2,v|~6.5@[n^,"หาว, การหาว, อ้าปากหาว, หาวนอน"
飽くまで,あくまで,"to the end, to the last, stubbornly",JLPT JLPT_2,"vD,5@+@_q]","จนถึงที่สุด อย่างดื้อรั้น, อย่างสุดกำลัง, สุดท้าย, อย่างไม่ลดละ"
明くる～,あくる～,"next, following",JLPT JLPT_2,c0UJ5Dk9?v,"ถัดไป ต่อจากนั้น, ภายหลัง, หลังจากนั้น, ลำดับถัดไป"
明け方,あけがた,dawn,JLPT JLPT_2,pi=5b}Xk:R,"รุ่งอรุณ, เช้าตรู่, รุ่งสาง, แสงแรก"
憧れる,あこがれる,"to long for, to yearn after",JLPT JLPT_2,c:=`W|}Gw`,"โหยหา ปรารถนา, ใฝ่ฝัน, ถวิลหา, คะนึงหา"
朝寝坊,あさねぼう,"oversleeping, late riser",JLPT JLPT_2,kR|>&(p6rG,"นอนตื่นสาย ตื่นสาย, การนอนเกินเวลา, คนตื่นสาย, ขี้เซา"
足跡,あしあと,footprint,JLPT JLPT_2,lj:ebvgd-q,"รอยเท้า, ลายเท้า, รอยตีน, รอยประทับเท้า"
足元,あしもと,at one's feet,JLPT JLPT_2,Ha)Qe[babj,"ที่เท้า, ตรงเท้า, ใกล้เท้า, ปลายเท้า"
味わう,あじわう,"to taste, to savor",JLPT JLPT_2,uxSo4jtf~d,"เพื่อลิ้มรส เพื่อสัมผัส, ชิม, ดื่มด่ำ, ลิ้มลอง"
預かる,あずかる,"to keep in custody, to receive on deposit, to take charge of",JLPT JLPT_2,LJpv~D13xj,"เก็บรักษาไว้ในความดูแล รับฝากไว้ รับผิดชอบ, ดูแล, เก็บรักษา, รับฝาก"
温まる,あたたまる,to warm oneself,JLPT JLPT_2,B5XhWyF.q9,"เพื่อทำให้ร่างกายอบอุ่น, อบอุ่นร่างกาย, ทำให้อบอุ่น, ให้ความอบอุ่น"
当たり前,あたりまえ,"natural, reasonable, obvious, usual, common, ordinary, commonplace, the norm",JLPT JLPT_2,b#?!|FvT)4,"เป็นธรรมชาติ สมเหตุสมผล ชัดเจน ปกติ ทั่วไป ธรรมดา บรรทัดฐาน, เป็นเรื่องปกติ, เป็นเรื่องธรรมดา, เป็นปกติวิสัย"
あちらこちら,あちらこちら,here and there,JLPT JLPT_2,Q~Ip4wR{af,"ที่นี่และที่นั่น, ทุกหนทุกแห่ง, ไปทั่ว, ตามที่ต่างๆ"
厚かましい,あつかましい,"impudent, shameless,",JLPT JLPT_2,"wZ0,_rCNQo","ไร้ยางอาย ไร้ยางอาย, หน้าไม่อาย, ไม่ละอาย, ด้าน"
圧縮,あっしゅく,"compression, condensation, pressure",JLPT JLPT_2,G:WAF/Dx1i,"การบีบอัด การควบแน่น ความดัน, การอัด, แรงอัด, การรวมตัว"
宛名,あてな,"address, direction",JLPT JLPT_2,"Q!,(6>`cO,","ที่อยู่, ทิศทาง, แอดเดรส, ตำแหน่ง"
当てはまる,あてはまる,"to be applicable, to come under (a category)",JLPT JLPT_2,gWVd1Z[tfA,"สามารถนำไปใช้ได้, อยู่ใน (หมวดหมู่), เข้าข่าย, ตรงตาม"
当てはめる,あてはめる,"to apply, to adapt",JLPT JLPT_2,OP(Hu}mMQq,"นำไปใช้ ปรับเปลี่ยน, ประยุกต์ใช้, ดัดแปลง, ปรับให้เข้ากัน"
暴れる,あばれる,"to act violently, to rage",JLPT JLPT_2,L6trU>v^!,"แสดงพฤติกรรมรุนแรง, โกรธเกรี้ยว, อาละวาด, บ้าระห่ำ"
脂,あぶら,"fat, tallow, lard",JLPT JLPT_2,t@*Ov{e4RP,"ไขมัน, ไขมันสัตว์, น้ำมันหมู, มัน"
あぶる,あぶる,"to scorch, to roast",JLPT JLPT_2,Jz@lzbGk7x,"เผาไหม้, ย่าง, ปิ้ง, ลน"
あふれる,あふれる,"to flood, to overflow",JLPT JLPT_2,be7:(ploED,"น้ำท่วม, น้ำล้น, ท่วม, ไหลบ่า"
雨戸,あまど,sliding storm door,JLPT JLPT_2,v+crs*_nva,"ประตูพายุแบบเลื่อน, บานประตูกันพายุ, ประตูบานเลื่อน, ประตูไม้ระแนง"
甘やかす,あまやかす,"to pamper, to spoil",JLPT JLPT_2,f~Uvnb+KP=,"เพื่อเอาใจ เพื่อตามใจ, ตามใจ, สปอยล์, ปรนเปรอ"
余る,あまる,"to be left over, to be in excess",JLPT JLPT_2,r`ob2WL<}I,"เหลืออยู่, เกินมา, คงเหลือ, เหลือใช้"
編み物,あみもの,knitting,JLPT JLPT_2,KBOilYWmo2,"การถัก, งานถัก, การถักไหมพรม, ถักทอ"
あみもの,あみもの,"knitting, web",JLPT JLPT_2,"wR7~d.J/,$","การถัก, เว็บ, งานถัก, เครือข่าย"
編む,あむ,to knit,Genki Genki_Ln.13 JLPT JLPT_2,"Bcd5,b]]w5","เพื่อถัก, ถักทอ, สาน, ถักไหมพรม"
危うい,あやうい,"dangerous, critical",JLPT JLPT_2,JYnP1Z3O1n,"อันตราย วิกฤต, เป็นภัย, เสี่ยง, คับขัน"
怪しい,あやしい,"suspicious, dubious, doubtful",JLPT JLPT_2,r?rB[7EP>5,"น่าสงสัย น่ากังวล ไม่แน่ใจ, สงสัย, กังขา, ไม่น่าไว้วางใจ"
荒い,あらい,"rough, rude, wild",JLPT JLPT_2,P5h|CxAaCE,"หยาบกระด้าง หยาบคาย ดุร้าย, กระด้าง, รุนแรง, ดิบ"
粗い,あらい,"coarse, rough",JLPT JLPT_2,t~Hs$2O?FD,"หยาบ กระด้าง, สาก, ไม่ละเอียด, ขรุขระ"
粗筋,あらすじ,"outline, synopsis",JLPT JLPT_2,GLP0^5#h&@,"โครงร่าง, บทสรุป, สรุปย่อ, เรื่องย่อ"
争う,あらそう,"to compete, to contest, to contend to quarrel, to argue, to dispute, to be at variance, to oppose",JLPT JLPT_2,eC6vp6J:;c,"แข่งขัน, โต้แย้ง, ต่อสู้ ทะเลาะวิวาท, โต้เถียง, ขัดแย้ง, คัดค้าน"
